direction,latitude,longitude,error
"1301 Boylston Street, Boston, MA 02215-3909",42.344773,-71.0983594,False
"528 Commonwealth Ave Hotel Commonwealth, Boston, MA 02215-2606",42.3485601,-71.0961765,False
"326 Hanover St, Boston, MA 02113-1901",42.36459961538462,-71.05377207692307,False
"11 Parmenter St 280 Hanover St, Boston, MA 02113-2306",,,True
"60 School St Omni Hotel, Boston, MA 02108-4109",,,True
"45 School Street Old City Hall, Boston, MA 02108",,,True
"1375 Washington St, Boston, MA 02118-2140",42.341471,-71.069569,False
"150 Huntington Ave, Boston, MA 02115-4808",42.3449757,-71.0818503,False
"415 Hanover St North End, Boston, MA 02113-1319",42.365609,-71.052812,False
"1 Faneuil Hall Marketplace Faneuil Hall Marketplace, Boston, MA 02109-6117",42.36005485,-71.05460485041264,False
"1 Seaport Ln, Boston, MA 02210-2013",42.3491401,-71.04151990280039,False
"11 Marshall St, Boston, MA 02108-2404",42.3615079,-71.0568617,False
"60 School St, Boston, MA 02108-4109",42.3578372,-71.0602361,False
"170 Milk St, Boston, MA 02109-3480",42.3587309,-71.05259344362422,False
"100 Huntington Avenue, Copley Place Copley Place Mall, Boston, MA 02116-6506",,,True
"104 Salem St, Boston, MA 02113-2213",42.3642879,-71.0556092,False
"250 Northern Ave Suite 200, Boston, MA 02210-2027",,,True
"52 Beach St, Boston, MA 02111-2020",42.3514972,-71.06056,False
"763 Centre St Jamaica Plain, Boston, MA 02130-2557",42.310246,-71.115202,False
"348 Congress St, Boston, MA 02210-1204",42.3505525,-71.0485101,False
"64 Arlington St Boston Park Plaza Hotel, Boston, MA 02116-3901",,,True
"1033 Commonwealth Ave, Boston, MA 02215-1001",42.3521499,-71.1219581,False
"316 Cambridge St, Boston, MA 02114-3125",42.3609663,-71.0689181,False
"558 Washington St, Boston, MA 02111-1733",42.353697,-71.0621541,False
"233 Hanover St, Boston, MA 02113-2310",42.363138724489794,-71.05546535714285,False
"107 Salem St, Boston, MA 02113-2227",42.364204,-71.055436,False
"205 Berkeley St Park Square Building, Boston, MA 02116-3716",,,True
"11 Beacon St, Boston, MA 02108-3017",42.3583818,-71.061713,False
"1 Chelsea St, Boston, MA 02129",42.372152,-71.06023,False
"1 S Market St Quincy Market Building, Boston, MA 02109-6171",,,True
"200 Boylston St Four Seasons Hotel Boston, Boston, MA 02116-3916",,,True
"288 Cambridge St, Boston, MA 02114-3123",42.3609909,-71.0682055,False
"540 Atlantic Ave, Boston, MA 02210-2210",42.3536298,-71.0533088,False
"800 Boylsto Street Store 117, Boston Prudential Center, Boston, MA 02199",,,True
"345 Congress Street, Fort Point, Boston, MA 02210-1222",,,True
"241 Hanover St, Boston, MA 02113-2322",42.3631481122449,-71.05548192857142,False
"911 Boylston St, Boston, MA 02115-3104",42.348395,-71.0842934,False
"477 Shawmut Ave, Boston, MA 02118-3838",42.3385685,-71.07603291666666,False
"980 Saratoga St, Boston, MA 02128-1142",42.38697020952991,-71.00744020817764,False
"Troquet on South 107 South Street, Boston, MA 0211",,,True
"327 Newbury St, Boston, MA 02115-2710",42.3487669,-71.0862168,False
"100 Tremont St, Boston, MA 02108-5001",42.3571582,-71.0607809,False
"710 Boylston Street at Lenox Hotel, Boston, MA 02116",,,True
"56 Northern Ave One Marina Park Drive, Boston, MA 02210-1862",,,True
"144 Charles St, Boston, MA 02114-3253",42.3599789,-71.0709685,False
"221 Hanover St, Boston, MA 02113-2309",42.363124642857144,-71.0554405,False
"148 State St, Boston, MA 02109-2506",42.3593344,-71.054186,False
"399 Boylston St, Boston, MA 02116-3305",42.3516736,-71.0723333,False
"80 W Broadway, Boston, MA 02127-1018",42.3407055625,-71.0534979375,False
"361 Hanover St, Boston, MA 02113-1910",42.36463,-71.053467,False
"27 Columbus Ave, Boston, MA 02116-3907",42.35129320833333,-71.068655375,False
"1 8th St, Boston, MA 02129-4206",33.4602245,-94.3731355,False
"110 Huntington Avenue Boston Marriott Copley Place, Boston, MA 02116",,,True
"89 Broad St, Boston, MA 02110-3509",42.3573334,-71.05319195748316,False
"211 Hanover St, Boston, MA 02113-2309",42.3627119,-71.0553276,False
"50 Dalton St, Boston, MA 02115-3129",42.3472132,-71.0854097,False
"215 Charles St The Liberty Hotel, Boston, MA 02114-3001",,,True
"48 Temple Place, Boston, MA 02111-1306",42.3551443,-71.0616993,False
"10 Bosworth St, Boston, MA 02108-4102",42.3569,-71.060166,False
"315 Shawmut Ave, Boston, MA 02118-2112",42.34237616666667,-71.07035325000001,False
"84 Beacon St, Boston, MA 02108-3421",42.3559525,-71.0712576,False
"255 State St, Boston, MA 02109-2617",42.3594832,-71.0514451,False
"270 Western Ave, Boston, MA 02134-1034",42.36324275,-71.13355376027518,False
"39 Stanhope St, Boston, MA 02116-5111",42.3484186,-71.0734785,False
"15 Bosworth St, Boston, MA 02108-4102",42.357073285714286,-71.060134,False
"360 Harrison Ave Boston, MA, Boston, MA 02118-2237",42.344743333333334,-71.06379066666668,False
"119 Salem St, Boston, MA 02113-1728",42.36448,-71.05540933333333,False
