name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible,price_range,category_1,category_2,category_3
"Select Oyster Bar, Boston","50 Gloucester St, Boston, MA 02115-3141",(269),148,63,19,11,10,$$$$,American,Seafood,Contemporary
"Sweet Cheeks Q, Boston","1381 Boylston St, Boston, MA 02215-3936",(660),292,232,67,28,14,$$ - $$$,American,Barbecue,Gluten Free Options
"The Hawthorne, Boston","500A Commonwealth Ave, Boston, MA 02215-2606",(169),117,33,6,1,5,$$ - $$$,American,Bar,Contemporary
"The Haven, Boston","2 Perkins St Jamaica Plain, Boston, MA 02130-1109",(140),89,39,7,1,2,$$ - $$$,Bar,British,Pub
"Fogo de Chao Brazilian Steakhouse, Boston","200 Dartmouth St, Boston, MA 02116-3501",(758),299,188,71,31,14,$$$$,Steakhouse,Brazilian,Barbecue
"Abby Lane Food & Spirits, Boston","255 Tremont St, Boston, MA 02116-5607",(426),181,155,46,10,12,$$ - $$$,American,Bar,Vegetarian Friendly
"Lucca Back Bay, Boston","116 Huntington Ave, Boston, MA 02116-5749",(343),150,107,48,14,2,$$$$,Italian,Vegetarian Friendly,Vegan Options
"Artu, Boston","6 Prince St, Boston, MA 02113-2409",(402),174,150,39,26,5,$$ - $$$,Italian,Vegetarian Friendly,Gluten Free Options
"Summer Shack, Boston","50 Dalton St Ste 2, Boston, MA 02115-3129","(1,254)",472,408,166,55,33,$$ - $$$,American,Bar,Seafood
"Union Oyster House, Boston","41 Union St, Boston, MA 02108-2494","(6,420)","2,322","1,741",952,381,230,$$ - $$$,American,Bar,Seafood
"The Elephant Walk South End, Boston","1415 Washington St, Boston, MA 02118-2009",(317),141,103,47,11,2,$$ - $$$,French,Cambodian,Vegetarian Friendly
"Petit Robert Bistro, Boston","480 Columbus Ave, Boston, MA 02118-3138",(289),126,101,30,14,5,$$ - $$$,French,European,Vegetarian Friendly
"Tip Tap Room, Boston","138 Cambridge St, Boston, MA 02114-2711",(308),132,104,24,13,5,$$ - $$$,American,Bar,Pub
"Trattoria Di Monica, Boston","67 Prince St, Boston, MA 02113-1827",(421),221,106,40,20,14,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Legal Sea Foods, Boston","1 Harborside Dr Logan Airport, Terminal E, Boston, MA 02128-2907",(602),247,211,62,20,17,$$ - $$$,American,Bar,Seafood
"Precinct Kitchen and Bar, Boston","154 Berkeley St, Boston, MA 02116-5107",(268),117,97,26,5,6,$$ - $$$,American,Bar,Contemporary
"Trident Booksellers & Cafe, Boston","338 Newbury St, Boston, MA 02115-2700",(547),204,173,77,37,17,$$ - $$$,American,Cafe,Vegetarian Friendly
"City Table, Boston","65 Exeter St Lenox Hotel, Boston, MA 02116-3505",(412),161,147,51,15,11,$$ - $$$,American,Contemporary,Vegetarian Friendly
"The Merchant, Boston","60 Franklin St, Boston, MA 02110-1302",(186),58,81,22,6,2,$$ - $$$,American,Bar,Vegetarian Friendly
"Eataly, Boston","800 Boylston Street Prudential Center, Boston, MA 02199","(1,040)",421,248,113,65,47,$$ - $$$,Italian,Pizza,Mediterranean
"Quattro, Boston","264 Hanover St, Boston, MA 02113-2303",(578),215,169,66,21,20,$$ - $$$,Italian,Pizza,Grill
"Whole Foods Market, Boston","181 Cambridge St, Boston, MA 02114-2786",(150),58,41,15,0,1,$$ - $$$,American,Deli,Vegetarian Friendly
"Anthony's Cafe On Waterfront, Boston","252 Commercial St, Boston, MA 02109-1305",(193),83,71,25,4,2,$,American,Cafe,Diner
"Joe's American Bar & Grill, Boston","181 Newbury St, Boston, MA 02116","(1,237)",375,447,151,43,36,$$ - $$$,American,Bar,Vegetarian Friendly
"Ristorante Saraceno, Boston","286 Hanover St, Boston, MA 02113-1804",(542),261,137,63,22,26,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Gaslight Brasserie du Coin, Boston","560 Harrison Ave, Boston, MA 02118-2436",(594),244,228,74,25,14,$$ - $$$,French,European,Vegetarian Friendly
"Yard House, Boston","126 Brookline Ave, Boston, MA 02215-3920",(423),153,164,57,15,12,$$ - $$$,American,Bar,Pub
"The Beehive, Boston","541 Tremont St, Boston, MA 02116-6306",(765),298,268,88,44,25,$$ - $$$,American,Bar,Contemporary
"South End Buttery, Boston","314 Shawmut Ave, Boston, MA 02118-2190",(289),126,106,31,11,3,$$ - $$$,American,Cafe,Vegetarian Friendly
"FIGS by Todd English, Boston","42 Charles St, Boston, MA 02114-4604",(400),170,112,45,9,19,$$ - $$$,Italian,Pizza,Vegetarian Friendly
Smith & Wollensky - Boston Atlantic Wharf,"294 Congress St Atlantic Wharf Boston, Boston, MA 02210-1003",(438),207,100,44,21,23,$$$$,American,Steakhouse,Gluten Free Options
"Stockyard Restaurant, Boston","135 Market St, Boston, MA 02135-2085",(256),107,93,25,14,6,$$ - $$$,American,Steakhouse,Bar
"Pomodoro, Boston","319 Hanover St, Boston, MA 02113-1820",(347),211,70,13,11,28,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"Chickadee, Boston","21 Drydock Ave, Boston, MA 02210-2384",(68),52,13,1,1,0,$$ - $$$,American,Mediterranean,Vegetarian Friendly
"Rowes Wharf Sea Grille, Boston","70 Rowes Wharf, Boston, MA 02110-3300",(422),187,118,61,26,9,$$$$,American,Seafood,Vegetarian Friendly
"The Black Rose, Boston","160 State St, Boston, MA 02109-2502",(967),396,332,116,30,28,$$ - $$$,Irish,Vegetarian Friendly,
"Strega, Boston","379 Hanover St, Boston, MA 02113-1907",(525),252,139,51,33,27,$$ - $$$,Italian,Vegetarian Friendly,Vegan Options
"North 26 Restaurant and Bar, Boston","26 North St The Millennium Bostonian Hotel, Boston, MA 02109-1503",(286),114,99,39,9,7,$$ - $$$,American,Vegetarian Friendly,Vegan Options
"Wahlburgers, Boston","132 Brookline Ave Fenway Park Area, Boston, MA 02215-3907",(637),307,167,88,35,25,$$ - $$$,American,Bar,Vegetarian Friendly
"Piattini Wine Cafe, Boston","226 Newbury St, Boston, MA 02116-2565",(455),180,146,48,10,11,$$ - $$$,Italian,Wine Bar,Vegetarian Friendly
