name_restaurant,direction,amount_ratings,amount_ratings_excellent,amount_ratings_vgood,amount_ratings_average,amount_ratings_poor,amount_ratings_terrible
"Alfredo's Italian Kitchen, Boston","243 Dorchester St, Boston, MA 02127-2803",(18),8,5,3,0,2
"Felcaro Pizzeria, Boston","280 Cambridge St, Boston, MA 02114-3123",(27),4,10,5,2,3
"The Upper Crust, Boston","683 Tremont St, Boston, MA 02118-1262",(15),6,6,1,1,1
"Crazy Dough's Pizza, Boston","800 Boylston Street Prudential Center, Boston, MA 02199",(19),3,3,7,1,1
"Rocco's Cucina & Bar, Boston","450 Commercial St, Boston, MA 02109-1021",(97),48,28,8,5,2
"New York Pizza, Boston","435 Massachusetts Ave, Boston, MA 02118-3504",(22),10,7,3,1,1
"Blaze Pizza, Boston","961 Commonwealth Ave, Boston, MA 02215-1305",(10),4,4,0,0,1
"Sal's Ristorante & Pizzeria, Boston","205 L St, Boston, MA 02127-4212",(15),8,5,1,0,0
"A & N House of Pizza, Boston","1409 Centre St Roslindale, Boston, MA 02132-7913",(10),6,4,0,0,0
"Ecco Pizzeria, Boston","1147 Commonwealth Ave, Boston, MA 02134-3104",(8),5,2,0,0,0
"Union Park Pizza, Boston","1405 Washington St, Boston, MA 02118-2009",(4),4,0,0,0,0
"Lily's Garden & Patio, Boston","33 Batterymarch St, Boston, MA 02110-3209",(1),1,0,0,0,0
"Gallo's Pizzeria, Boston","165 Seaport Blvd, Boston, MA 02210-2012",(3),0,1,0,0,0
"Domino's Pizza, Boston","1144 Saratoga St, Boston, MA 02128-1228",(6),1,1,0,1,3
"Red Line Pizza and Grill, Boston","582 Dorchester Ave, Boston, MA 02127-2722",(8),4,1,1,0,2
Boston pizza grill,"535 Columbia Rd, Boston, MA 02125-2315",(3),0,0,0,1,0
"Domino's Pizza, Boston","207 Adams St, Boston, MA 02122-1618",(3),0,0,1,0,2
"Domino's Pizza, Boston","695 Truman Hwy Ste 1, Boston, MA 02136-3552",(2),0,0,0,0,2
"LA Mamma Pizza & More, Boston","190 Brighton Ave Ste A, Boston, MA 02134-2031",(5),2,3,0,0,0
"Pizza Days, Boston","111 Brighton Ave, Boston, MA 02134-2802",(8),1,2,0,1,3
"Cafe Podima, Boston","168 Cambridge St, Boston, MA 02114-2714",(22),5,11,4,1,0
"Game On!, Boston","82 Lansdowne St, Boston, MA 02215-3411",(163),39,53,40,10,13
"Domino's Pizza, Boston","1260 Boylston St Ste 2, Boston, MA 02215",(20),3,1,2,0,9
"Domino's Pizza, Boston","4640 Washington St, Boston, MA 02131-4855",(1),0,0,0,1,0
"Rossini's Pizzeria & Trattoria, Boston","1252 Washington St, Boston, MA 02118-2109",(1),0,0,1,0,0
"Al Capone's, Boston","82 Summer St, Boston, MA 02110-1210",(26),10,8,5,1,2
"The Best Sausage Co, Boston","Jersey Street, Boston, MA 02215-3408",(30),10,7,8,0,3
"Domino's Pizza, Boston","464 Washington St, Boston, MA 02135-2620",(4),0,1,0,0,0
"Crispy Dough Pizzeria, Boston","1514 Tremont St, Boston, MA 02120-2928",(6),1,1,2,0,2
"DW Brewpub, Boston","820 William T Morrissey Blvd, Boston, MA 02122-3404",(40),8,10,14,2,2
"Sbarro, Boston","1 Harborside Dr Terminal C, Boston, MA 02128",(10),0,2,3,2,2
"Blue Hill House of Pizza, Boston","161 Blue Hill Ave, Boston, MA 02119-2118",,,,,,
"Backwoods Pizza, Boston","539 Dudley St, Boston, MA 02119-2768",,,,,,
"Arizona Barbeque, Boston","2360 Washington St, Boston, MA 02119-3215",,,,,,
"El Kiosco, Boston","972 Saratoga St, Boston, MA 02128-1142",(5),2,1,2,0,0
"Mangia Neapolitan Pizza, Boston","7 Ellery St, Boston, MA 02127-2747",(1),0,0,1,0,0
"Milk Street Cafe, Boston","50 Milk St Lobby C, Boston, MA 02109-5003",(82),49,25,3,1,1
"Metro Cafe, Boston","332 Congress St, Boston, MA 02210-1217",(10),3,3,3,0,0
"Porters Bar & Grill, Boston","173 Portland St, Boston, MA 02114-1702",(128),41,53,14,7,5
"Domino's Pizza, Boston","1672 Blue Hill Ave, Boston, MA 02126-2108",(1),0,0,0,0,1
"City Place, Boston","10 Park Plz, Boston, MA 02116-3933",(12),4,0,2,0,0
"Jaho Coffee Roaster & Wine Bar, Boston","116 Huntington Ave, Boston, MA 02116-5749",(17),5,6,2,0,2
"Dimitrios Restaurant, Boston","1750 Dorchester Ave, Boston, MA 02124-2531",(1),0,0,1,0,0
"Wingit Foods INC, Boston","1153 Commonwealth Ave, Boston, MA 02134-3104",(11),4,4,1,0,2
"Kings Dining & Entertainment, Boston","60 Seaport Blvd Suite 225, Boston, MA 02210-2042",(18),11,1,0,2,1
"Cafe Artigiano, Boston","8 City Hall Ave near the Old City Hall, accessible by School Street or 15 Court Square, Boston, MA 02108-4301",(6),5,1,0,0,0
"Cobblestone, Boston","227 Hanover St, Boston, MA 02113-2310",(35),12,16,5,0,2
"Burritos Pizzeria, Boston","3492 Washington St, Boston, MA 02130-2609",(3),2,1,0,0,0
"Sutton Pizza Restaurant, Boston","146 Boston St, Boston, MA 02125-1141",(1),0,0,1,0,0
"Spukies'n Pizza, Boston","1159 Washington St, Boston, MA 02124-5525",(5),3,1,0,0,1
"D'Angelo Grilled Sandwiches, Boston","700 Atlantic Ave., Boston, MA 02210",(5),2,2,0,0,0
"Good Eats Pizza & Subs, Boston","1002 Tremont St, Boston, MA 02120-2119",(1),1,0,0,0,0
"UNO Chicago Grill, Boston","100 Charles St, Boston, MA 02114-4609",(2),0,2,0,0,0
"Crazy Dough's Pizza, Boston","1124 Boylston St, Boston, MA 02215-3601",(28),17,10,0,1,0
"Olympic House of Pizza, Boston","655 E Broadway, Boston, MA 02127-1503",(3),1,1,1,0,0
"Burritos Pizzeria, Boston","1282 Hyde Park Ave, Boston, MA 02136-2702",(2),0,1,0,0,1
Boston pizza grill,"33 Willis St, Boston, MA 02125-1944",(1),0,0,0,1,0
"Domino's Pizza, Boston","163 Old Colony Ave, Boston, MA 02127-2409",(2),0,1,0,0,1
"Bertucci's Italian Restaurant, Boston","1 Blackfan Cir, Boston, MA 02115-5713",(28),8,8,2,4,4
"La Famiglia Spagnuolo, Boston","240 Hanover St, Boston, MA 02113-2303",(173),30,33,13,20,65
"Roy's Cold Cuts, Boston","198 Marion St, Boston, MA 02128-1724",(12),7,5,0,0,0
"Fiorella's Express, Boston","2 Tremont St, Boston, MA 02135-2407",(9),8,0,0,0,1
"il Panino Cafe and Grill, Boston","268 Centre St, Boston, MA 02130-1638",(7),2,3,1,1,0
"South End Pizza and Grill, Boston","772 Tremont St, Boston, MA 02118-1106",(13),2,1,3,1,5
"Fast Eddie's Pizza, Boston","1696 Commonwealth Ave, Boston, MA 02135-5602",(6),0,1,2,0,2
"Dogwood Cafe, Boston","3712 Washington St Jamaica Plain, Boston, MA 02130-3701",(61),28,25,6,2,0
"Adam Pizza, Boston","120 Blackstone St, Boston, MA 02109-1506",(2),0,0,0,1,1
"Cafe Porto Bello, Boston","672 E Broadway, Boston, MA 02127-1596",(44),22,18,0,1,1
"L Street Diner & Pizzeria, Boston","108 L St, Boston, MA 02127-3171",(26),15,9,0,1,1
"Emilios Pizza & Sub Shop, Boston","536 Tremont St, Boston, MA 02116-6335",(38),10,13,5,3,4
"JP House of Pizza, Boston","775 Centre St, Boston, MA 02130-2557",(4),0,3,0,0,0
"Servia, Boston","126 State St Cunard Building, Boston, MA 02109-2305",,,,,,
"Maria's Kitchen, Boston","1829 Centre St West Roxbury, Boston, MA 02132-1945",,,,,,
"OTTO, Boston","416 W Broadway Entrance on F Street, behind Caffé Nero, Boston, MA 02127",,,,,,
"Great Taste, Boston","100 City Hall Plaza, Boston, MA 02108-2105",,,,,,
"The Circle, Boston","356 Chestnut Hill Ave, Boston, MA 02135-7773",,,,,,
"Domino's Pizza, Boston","277 Main St # 279, Boston, MA 02129-2917",,,,,,
"Nicholas Sub & Pizza Shop, Boston","600 Hyde Park Ave, Boston, MA 02131-3812",,,,,,
"Papa John's Pizza, Boston","522 River St, Boston, MA 02126-3014",,,,,,
"Lani's Pizza, Boston","1286 Blue Hill Ave, Boston, MA 02126-1806",,,,,,
"Cappy's Pizza & Subs, Boston","304 Centre St, Boston, MA 02130-1434",,,,,,
"Jubilee Grille Pizzeria, Boston","45 Milk St, Boston, MA 02109-5105",,,,,,
"Joseph's Pizzeria, Boston","1200 Blue Hill Ave, Boston, MA 02126-1819",,,,,,
"Tony's Pizzeria, Boston","10 Fairmount Ave, Boston, MA 02136-2716",,,,,,
"Domino's Pizza, Boston","1400 Tremont St Roxbury Crossing Station - Space D, Boston, MA 02120",,,,,,
"Burritos Pizzeria, Boston","224 Columbia Rd, Boston, MA 02121-3408",,,,,,
"D'Angelo Grilled Sandwiches, Boston","850 Harrison Ave., Boston, MA 02118",,,,,,
"Sergios Pizzaria, Boston","283 Old Colony Ave, Boston, MA 02127-3520",,,,,,
"Slice Place, Boston","115 Water St, Boston, MA 02109-4823",,,,,,
"Egleston Corner Pizza, Boston","3080 Washington St, Boston, MA 02119-3115",,,,,,
"Kipos Pizzeria & Restaurant, Boston","106 Bunker Hill St, Boston, MA 02129-3131",,,,,,
