direction,latitude,longitude,error
"931 Dorchester Ave, Boston, MA 02125-1251",42.318864500000004,-71.05692468427962,False
"800 Boylston Street Prudential Center, Boston, MA 02199",,,True
"1920A Beacon St, Boston, MA 02135-7701",42.33643947189769,-71.14913810430444,False
"204 Cambridge St, Boston, MA 02114-2715",42.3609731,-71.0658862,False
"117 Salem St, Boston, MA 02113-1728",42.364457,-71.05541166666667,False
"84 Bennington St, Boston, MA 02128-1710",42.3761913,-71.0357131,False
"700 Atlantic Ave, Boston, MA 02111-2813",42.3520961,-71.055608,False
"224 Tremont St, Boston, MA 02116-4783",42.35134625,-71.0647220625,False
"22R Birch St Roslindale, Boston, MA 02131-3008",42.286994,-71.129888,False
"253 Shawmut Ave, Boston, MA 02118-2178",42.343392,-71.068631,False
"888 Commonwealth Ave, Boston, MA 02446",42.3507822,-71.1137668,False
"106 Blackstone St, Boston, MA 02109-1506",42.36158415,-71.05644944000672,False
"700 Atlantic Ave South Station, Boston, MA 02111-2813",,,True
"76 Guest St, Boston, MA 02135-2028",42.35741941955239,-71.14767389089668,False
"16 Derne St in back of State House, Boston, MA 02114-4203",,,True
"264 East Berkeley Street Troy South End, Boston, MA 02118-2208",,,True
"850 Massachusetts Ave, Boston, MA 02118-2604",42.332084249999994,-71.07104023007614,False
"735 Huntington Ave, Boston, MA 02115-6304",42.3411763,-71.0867996,False
"1330 Boylston St, Boston, MA 02215-4229",42.3441085,-71.09831610963495,False
"264 Hanover St, Boston, MA 02113-2303",42.363613,-71.054828,False
"7 Moulton St, Boston, MA 02129-3115",42.3766774,-71.05650925494241,False
"111 Salem St, Boston, MA 02113-2245",42.3642982,-71.0554599,False
"111 Chelsea St, Boston, MA 02128-1937",42.3726687,-71.0353415,False
"42 Charles St, Boston, MA 02114-4604",42.3572305,-71.0701821,False
"352 Hanover St, Boston, MA 02113-1911",42.365015,-71.053382,False
"513 Tremont St, Boston, MA 02116-6306",42.3448813,-71.070484,False
"69 Salem St Ste 1, Boston, MA 02113-2248",39.73928,-84.851885,False
"336 Sumner St East Boston, Boston, MA 02128-2124",42.36728975,-71.03572899569436,False
"289 Hanover St, Boston, MA 02113-1810",42.363759,-71.054386,False
"395 Dorchester St, Boston, MA 02127-2740",42.333244,-71.0505079,False
"133 Pearl St, Boston, MA 02110-2499",42.35478365,-71.05388036016377,False
"347 Centre St, Boston, MA 02130-1239",42.3047401,-71.1247301,False
"28 Myrtle St, Boston, MA 02114-4501",42.35924795,-71.06557373784008,False
"2254 Dorchester Ave, Boston, MA 02124-5620",42.273415061127764,-71.06763687650576,False
"612 Blue Hill Ave Dorchester, Boston, MA 02121-3212",42.305909643433814,-71.08476930616068,False
"568 Cambridge St Allston, Boston, MA 02134-2432",42.35234324579048,-71.14057657362147,False
"79 Charles St, Boston, MA 02114-4632",42.3583849,-71.0704297,False
"662 Centre St, Boston, MA 02130-2507",42.3126464,-71.1139905,False
"748 Gallivan Boulevard, Boston, MA 02122",42.2847043,-71.0454217195178,False
"82 Westland Ave, Boston, MA 02115-3811",42.34370771428571,-71.08913342857143,False
"2 Brighton Ave, Boston, MA 02134-2310",42.352351298588204,-71.12540621217619,False
"2201 Commonwealth Ave Brighton, Boston, MA 02135-3853",42.340148903846156,-71.16630136538461,False
"1761 Centre St, Boston, MA 02132-1535",42.287512250000006,-71.15068703493921,False
"547 Washington St, Boston, MA 02111-1718",42.353689409361465,-71.06244428106399,False
"64 Staniford St, Boston, MA 02114-2525",42.362842,-71.0641231,False
"239 Meridian St, Boston, MA 02128-1624",42.37578366580387,-71.03902221791553,False
"474 Saratoga St, Boston, MA 02128-1439",42.380051,-71.02725,False
"736 Centre St Jamaica Plain, Boston, MA 02130-2518",42.3107847,-71.114453,False
"320 Medford St, Boston, MA 02129-1950",42.381260999999995,-71.06302585335138,False
"416 Tremont St, Boston, MA 02116-6309",42.3468048,-71.0686365,False
"367 Centre St, Boston, MA 02130-1241",42.322423,-71.108647,False
"15 N Beacon St Ste 12, Boston, MA 02134-1936",,,True
"639 Tremont St, Boston, MA 02118-1261",42.342250444444446,-71.075061,False
"400 Neponset Ave, Boston, MA 02122-3134",42.286486,-71.043998,False
"712 Commonwealth Ave Ste 2, Boston, MA 02215-2414",,,True
